+-----------------------------+------------+------+--------+----------------+-------------+----------------+-------------+----------------------+---+
|     Найменування валюти     | Код валюти | Рік  |  1.10  | курс крб. 1.11 | рівень 1.11 | курс крб. 1.12 | рівень 1.12 | Рівень за три місяці | 1 |
+-----------------------------+------------+------+--------+----------------+-------------+----------------+-------------+----------------------+---+
| 1 англійський фунт стерлінг |    103     | 2003 | 565.46 |     604.57     |     1.07    |    1003.17     |     1.66    |         1.77         | 1 |
| 1 англійський фунт стерлінг |    103     | 2004 | 110.25 |     1120.6     |    10.16    |     1350.4     |     1.21    |        12.25         | 1 |
| 1 англійський фунт стерлінг |    103     | 2005 | 1364.2 |     1370.1     |     1.0     |    1380.15     |     1.01    |         1.01         | 1 |
|   10 бельгійських франків   |    104     | 2003 | 113.03 |     122.6      |     1.08    |     200.38     |     1.63    |         1.77         | 1 |
|   10 бельгійських франків   |    104     | 2004 | 250.45 |     260.45     |     1.04    |     275.2      |     1.06    |         1.1          | 1 |
|   10 бельгійських франків   |    104     | 2005 | 280.1  |     283.4      |     1.01    |     285.1      |     1.01    |         1.02         | 1 |
|       1 німецька марка      |    105     | 2003 | 227.91 |     252.07     |     1.11    |     412.02     |     1.63    |         1.81         | 1 |
|       1 німецька марка      |    105     | 2004 | 444.23 |     465.4      |     1.05    |     470.2      |     1.01    |         1.06         | 1 |
|       1 німецька марка      |    105     | 2005 | 475.23 |     480.3      |     1.01    |     485.2      |     1.01    |         1.02         | 1 |
|    1 голандський гульден    |    106     | 2003 | 202.42 |     224.0      |     1.11    |     366.26     |     1.64    |         1.81         | 1 |
|    1 голандський гульден    |    106     | 2004 | 405.05 |     425.35     |     1.05    |     450.3      |     1.06    |         1.11         | 1 |
|    1 голандський гульден    |    106     | 2004 | 462.2  |     464.1      |     1.0     |     466.15     |     1.0     |         1.01         | 1 |
|      1 канадський долар     |    109     | 2003 | 267.88 |     318.0      |     1.19    |     511.92     |     1.61    |         1.91         | 1 |
|      1 канадський долар     |    109     | 2004 | 605.2  |     630.15     |     1.04    |     680.25     |     1.08    |         1.12         | 1 |
|      1 канадський долар     |    109     | 2005 | 690.1  |     695.15     |     1.01    |     699.8      |     1.01    |         1.01         | 1 |
|         1 долар США         |    111     | 2003 | 334.0  |     396.0      |     1.19    |     652.62     |     1.65    |         1.95         | 1 |
|         1 долар США         |    111     | 2004 | 700.3  |     725.15     |     1.04    |     750.1      |     1.03    |         1.07         | 1 |
|         1 долар США         |    111     | 2005 | 765.15 |     775.1      |     1.01    |     785.2      |     1.01    |         1.03         | 1 |
+-----------------------------+------------+------+--------+----------------+-------------+----------------+-------------+----------------------+---+
